rank,score,bucket,relevance,id,name,status,asset_type,capacity_mw,duration_hours,energy_gwh,investment_eur_bn,location,developer,planning_reference,technology,counting_rule,source,url,reasons
56,87,Promising,in Ireland,storage-news-728e95f97378,"Google agrees long-duration energy storage project in County Offaly, Ireland - IOM3",Watch item,Storage / grid flexibility,,,,,Co. Offaly,,,"Google agrees long-duration energy storage project in County Offaly, Ireland IOM3",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,IOM3,https://news.google.com/rss/articles/CBMirwFBVV95cUxNSndsSlhiaUFnTUZOQlJQS0swMGNaeGJqS2lxRXoweHkwSHBpWFkyNS1zdnU3M0Qwci1mUUs1b3EtdlM2b2U2TkN3cmtQaVI5SEU5cUVHNU5MVWxUTFpNTm10SExYX1hrcTc4amtDbGg3ZDdUc211NFcwQmo0QkRUWmcyOGVwSW9Ja0ZYUVdVRzdsQnpZQS1FY2dkUXZaQ1U3M0dQNkstV2xVXy1xWDBR?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
57,87,Promising,in Ireland,storage-news-f7097aa4a9b7,Major development in plan to develop battery storage project in Offaly - Offaly Live,Watch item,Battery energy storage,,,,,Co. Offaly,,,Major development in plan to develop battery storage project in Offaly Offaly Live,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Offaly Live,https://news.google.com/rss/articles/CBMisgFBVV95cUxNQ1JzZ1l3bW5CWmpxLVRlRnNlSzdDd3VWcXMxME5RYm5USWtSU0pKTjFPX2NRTjRZVnAzN3FZcTl6MHNsZXFYWW1fVW5NWUd6WTkwaENnbGFScHJpeGxwZDZGSFVBbFlkWDBXeFFXUVdkWVRhUXpBSWZHU2s2Tk5BQTVVTGJKaWZya2pndHdDbUZwNGl2bi1KVWxua2ZtaGlDOHNjS29FUms5aDdoWi1IbmFB?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
58,87,Promising,in Ireland,storage-news-1f09051b8ca0,Google and Energy Dome Advance Multi-Continent Energy Storage Buildout with First Bilateral Project in Ireland - Business Wire,Watch item,Storage / grid flexibility,,,,,Ireland,,,Google and Energy Dome Advance Multi-Continent Energy Storage Buildout with First Bilateral Project in Ireland Business Wire,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Business Wire,https://news.google.com/rss/articles/CBMi-wFBVV95cUxPTEdSQVJBN2NsRGZHNmNMcFJIMTY3b0dHem9qTWJWd3Q3R1RUeHFiSWo1U1cyOHVNcmlEdktXZGlqaGQ0VnFGaFZ5aHEyWlEwSlU0aDRrY3NfNmZ5NHBNQkVIOXBHcXd2Y0hOTlBlY3ZMZlJDOS16WUFjN0Q5QjdrV0dqUzJZLTgtUVljSFRtLW9oQUxzMkcyRnBJRnJpVnhYTjBNTnJWd1pudFZ3aUdXRjY3Q3otd2pTWGlnODlVcWVFTjhKWHJqT3Vtc2U1OXpvVkU1bTZ1Q0JoYldBY1VCNEVoTWxweFhXZmFsRkd6ckRHR3dfWTZUMHktRQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
59,87,Promising,in Ireland,storage-news-a2ae647c91e1,"Energy Dome CO2 battery project to supply Google, support grid in Ireland - Solar Power Portal",Watch item,Battery energy storage,,,,,Ireland,,,"Energy Dome CO2 battery project to supply Google, support grid in Ireland Solar Power Portal",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMivwFBVV95cUxPbXFIQ19ib2lqNkE1NDFoVE9MbGpQUUQ5UlBVWkxyMHBCOVZ4RkpVM3UtSVFZSlc1VFdhbF9zdkdqQ183RXY3WHZtd05kb3VPYUtQQXpzNk1HRW44UVRHTnd4dTlTZGtPTloxc0dsdFVLanl3ZUpVc3Jwa2E5ZzZVbDNBN3FJelZFRDNJdUFHdG5ZOEhfbFVTNDluOEJlSWI1V3dDa0dZaDZ1T2tvc2dneW5mOWxXMXMxekwydGxpTQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
60,87,Promising,in Ireland,storage-news-1b43994a5299,Irish regulator plans to reduce grid fees for energy storage - ESS News,Watch item,Storage / grid flexibility,,,,,Ireland,,,Irish regulator plans to reduce grid fees for energy storage ESS News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMingFBVV95cUxQelhBc0h5UG13eVNoQnpBc0M4SUZnVnRzZkZUTTVIM096QTVaa1VmOTlhZTU2QUNWYkpCTlZSVFhia2pIX2hWU2NxUWxZa3NEUVRjM0Y5MzBYUUIwMm84WnQ5aXNUN0hJaFB4a01wODB2NTJCVU5IUlZXRy1TeGdHTGZlcG9vUDJXNG16cGZPZTZvb083RjE4dTRkdDBkdw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
61,87,Promising,in Ireland,storage-news-530d64542043,Google Backs CO₂ Battery Breakthrough of Energy Dome in a First Bilateral Energy Storage Project in Ireland - CarbonCredits.com,Watch item,Battery energy storage,,,,,Ireland,,,Google Backs CO₂ Battery Breakthrough of Energy Dome in a First Bilateral Energy Storage Project in Ireland CarbonCredits.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,CarbonCredits.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOcVNtcDY2Q3FDdTROSzNYdDJha2ZzSWVNX1dnQTVfT0o1SDJjeVVCanlMQ0ttY2FSejNvdEpDYWZWTUdOdzltRER1X01YQW1mUjEyMTZZbUVkc2h3aXRfNi0yaXpsUnNYTFR3VmlhYVpkQkpETWRwLXRMaTQwU0xmZnJaQnY1akp3TDd4NjRXWWR5WGFFcDBKZ1JkNFdLTThRSk5fNWJWdEhoZW9PYkZvQ1pScmxSVUtoSzhFRkhMaTl6a3YycHNmdXlvRkRoRmNpNmVsMF9KU2xwUQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
62,87,Promising,in Ireland,storage-news-95a27ba9d0ec,Ireland's first four-hour battery storage system launched - RTE.ie,Watch item,Battery energy storage,,,,,Ireland,,,Ireland's first four-hour battery storage system launched RTE.ie,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,RTE.ie,https://news.google.com/rss/articles/CBMic0FVX3lxTFBZSVItQi1Ic1NaaHJxWEdNNHViaHdzWkp1ZGYwMVNQQnFvLTd3Vml4NDk3ZFBURlE3ek5idHRLdy1zUEJwWnVRMWd3Rm9TSnFLNTdIRHc2VWt2THZRTTBuZndWVTN6cFZTNl9UUkNZOWZxN2M?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
63,87,Promising,in Ireland,storage-news-8c6b3a40b21d,Energy storage systems hold key to unlocking Ireland’s renewable potential - IDA Ireland,Watch item,Storage / grid flexibility,,,,,Ireland,,,Energy storage systems hold key to unlocking Ireland’s renewable potential IDA Ireland,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,IDA Ireland,https://news.google.com/rss/articles/CBMiekFVX3lxTE5YLWphdWxMeHExVzRNczVmSzBpUll5WUdRcEpTY3FOZFNwQ3gzM2hZaTdWYUNhcUJhTWdKUWoxUlR3T3ZtelQydXk4Y3hqZHcxSEVaM1hSYkVHRVJHSVRwOFpDTTRBeUFpWmkyS3JOWmxEQ2wwOEUycVFR?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
64,87,Promising,in Ireland,storage-news-0750bd41d7d1,"Google and Energy Dome bet on Ireland CO2 battery project, with a second site in view - The Cool Down",Watch item,Battery energy storage,,,,,Ireland,,,"Google and Energy Dome bet on Ireland CO2 battery project, with a second site in view The Cool Down",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,The Cool Down,https://news.google.com/rss/articles/CBMigwFBVV95cUxQMFMyWUpydjlnZExpS0V1dzh1R1l4dkwwaThOZ2hwWDRtbGozc2c3XzhiOGJGZHBmaHBfN1dXRVk5MENqZTNNaE1CNEZ5WWI5R3dSUGlNYm5hcUZTOHpGTDA1SURLZHZrRGota2lTYVFQc09Ydm5aZndhblJsNk1aRmQ5SQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
65,87,Promising,in Ireland,storage-news-38d734b520b0,Google expands CO2 battery technology portfolio with new Ireland project - edie.net,Watch item,Battery energy storage,,,,,Ireland,,,Google expands CO2 battery technology portfolio with new Ireland project edie.net,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,edie.net,https://news.google.com/rss/articles/CBMimgFBVV95cUxObjIzTEpHOG1SQzdidVlDRDlSOWRmNkhrbndhNnlzb19GZ1NFWHRqbnRyVWd1V0F1c3NRTmdicHZRemNYRVljZFFtcE04MUZ2TVQ4MnoyTlZic2FoQnRqLU5aN1RNMndVXzZobWJSM3pWeENTTExjS3llMnc4TGp3S3NhQlduRzZLOTNnZDV1VTkwaWtfM1g5c0Jn0gGmAUFVX3lxTE1mSVhBMG1Uc0ZCb3RKSmxpdGt2NEZpMHJrVXRZVktwUmNvd0JENkVxc1AyakJ2eVJxUk9sbktzWTlWMFJHbUl5cmwtNE5XLXpZbGRVclJESXRWQTRGZWZ1R1lpQ3hvTGpvamJRSV9OZ3dsdDBydkU4S0xjMWVKbW1RTktZeUdncXNxbUdTT0NOd01jdFpRcGFvaUNVQnhRd3JfNVRMVUE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
66,87,Promising,in Ireland,storage-news-807fbc644093,New €2 billion renewable energy facility planned for Carlow - BreakingNews.ie,Watch item,Storage / grid flexibility,,,,2.0,Co. Carlow,,,New €2 billion renewable energy facility planned for Carlow BreakingNews.ie,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,BreakingNews.ie,https://news.google.com/rss/articles/CBMirAFBVV95cUxOTzhfdTZ1a2R6RDJyN2Z4anUtekNMY1B5V0VFajZQUGlmV1ZVM19nZnp0RzFPZngwUXZiQ19YQjZJbzJXZDJJSDNNWi1XakNmbGRSOUhxbXpNQkNmUDduVDFON1BFR0M0RjRLOERKcThFaXlSenFQWUZ1eG80anJfallxb1dmWktscS11a2ZaUWZqRHlSNHNLaUZDYXlETE94ak1LeUJsWXBTd2hT?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
67,87,Promising,in Ireland,storage-news-5220d0ff3be5,Energy Dome to advance 200-MWh Irish CO2 battery project with Google - Renewables Now,Watch item,Battery energy storage,,,,,Ireland,,,Energy Dome to advance 200-MWh Irish CO2 battery project with Google Renewables Now,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Renewables Now,https://news.google.com/rss/articles/CBMirAFBVV95cUxQNWVsMTNmcmQzSXN1MXh3RTBlU0JzUXFuU2gtZmdEZWtjM01LVnZxNy11SzQzWHoyWjVNWnpLU1FJX0xyQXhkNTV4d2ktTGRtTXcta2JBcldJZkpON1hZakUwcG5zWGlzXzd5MU5Mdm9kamV0VXh3NDBUYUQ3WTlDbl82MVY4ZFpUQzZtc0UtRDZDQ1NsVlluakk2OWxvWHJQYWpSRUdfeFU1Z3Qw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
68,87,Promising,in Ireland,storage-news-15513057cedd,US 100-hour battery startup Form Energy’s first overseas deployment ‘set to fill a critical gap in Ireland’s power system’ - Energy-Storage.News,Watch item,Battery energy storage,,,,,Ireland,,,US 100-hour battery startup Form Energy’s first overseas deployment ‘set to fill a critical gap in Ireland’s power system’ Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMi5gFBVV95cUxOTmRKMHJMUHNRa0MxU0xudXZ2amx3ZWc0a0diWXRLUUtkTDRwQlBmR1hZV2tZczdLWjlxMU4ySzE0eHhYX2ZWM3kxRHR2NEwzYk9vc24xMzRucloxVFZxSWNwM3VJZTJDNjdHeXVlRElkc3h0NzJwQW16cUdUOGtEc0Y3cFZuS3pjSEdVMlZPdV9DbTE2WHZMM0xwOTAtY2VybVROS2toOEU1VFp4UFF1V01uczBvdm9uamdISzNJd3ptSEpXVEZlQ0RaXzNNR2ttUEkxVVJHeXphV3Z4RWxsckRnSmxBZw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
69,87,Promising,in Ireland,storage-news-ba674ed880a3,Swiss equity firm backs £100m energy storage project in Islandmagee - The Irish News,Watch item,Storage / grid flexibility,,,,,Ireland,,,Swiss equity firm backs £100m energy storage project in Islandmagee The Irish News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,The Irish News,https://news.google.com/rss/articles/CBMizwFBVV95cUxON3dtSU1TczR6MnVTNWEzeFpoRVViNzdEeXB5WlVHcnVPUHdpeWlnMzJjaUZsdExHNGl6Ymo0aVVveHVyT01WV2NtQ3ZfSnhOeFA4TVg1Q0tFYkhKMUpERlljcTM4NmhkTmU2NmNNMW9JdGJmQllOS3VTN0ZIMHVzS2tjUERYMGlTOWQ0SHhyYUFlV21HcUVIMGNuS2owdnVVRTBvSVRtbXZpMng1MVBFQXd5U05iU2NiS2x4elZvSjFwQUFTcS1ta0hHM1NyMUU?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
70,87,Promising,in Ireland,storage-news-7d58cdfe5828,"Solar project in Cork, with ‘improved’ battery storage, planned for site outside Macroom - Irish Independent",Watch item,Battery energy storage,,,,,Co. Cork,,,"Solar project in Cork, with ‘improved’ battery storage, planned for site outside Macroom Irish Independent",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Irish Independent,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPMnExMmJ4WTVaY3YwRWxDYnVHaDluMFN6NjJnVXViNWMtNUFHM2dSVDAxeDlUd3d6LXBZc2hKWGRITjA1S1RoQ05VcTI1RU5yajlieFlqRFE0YUxSOENDcks3c3BKVGtwMlBBdzRhTGF5ZzYwaW95ekNCaFAzeUhJdXdMcUVNNjZ0ano1akRqblJKUktaa2NVOXZMSXhYR3oxclZIY0diMmZyel9xcnR2Wnp3VXZ3emRaZm9UcGtVSFFRWHFxUU8yN1RsdGxHVWVqZTlibUhhOA?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
71,87,Promising,in Ireland,storage-news-4f9503d09da6,"Capital Dynamics, Solo Renewables partner on 150-MW LDES in N Ireland - Renewables Now",Watch item,Storage / grid flexibility,,,,,Ireland,,,"Capital Dynamics, Solo Renewables partner on 150-MW LDES in N Ireland Renewables Now",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Renewables Now,https://news.google.com/rss/articles/CBMirAFBVV95cUxNVzViaUhrWkltUEpHbnRwc0RsbGpudnRsT3VhOGxQWHJwRWVLR0ZXdzA4OUtZOUVoMVI3aEg5RHlEZ0gtUEZHT3c3WnVmYy1DMGpfNThWbmdUdF92RzVZWWdfTXBGTXBIQ2R1SUpXajZUc0hiOXJNY3VLS21GYlZ5X3dkeGthdlA3cXdZblVkSzlyUDEzV3U3Q3dnanA2NVJRRm9mbzdSNWtIMXgx?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
72,87,Promising,in Ireland,storage-news-dc55d3cb8235,'We're looking forward to delivering a landmark facility': Global investor and Cookstown firm unite behind £100m Northern Ireland Energy Storage Scheme - Belfast News Letter,Watch item,Storage / grid flexibility,,,,,Ireland,,,'We're looking forward to delivering a landmark facility': Global investor and Cookstown firm unite behind £100m Northern Ireland Energy Storage Scheme Belfast News Letter,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Belfast News Letter,https://news.google.com/rss/articles/CBMinwJBVV95cUxPVDQxMTAzTG01aWVjRUFpV2xQR0xnT1ZNTUVmb203eVJSdTBCUUF6Q3dXaG91U3hGVTZZMU1pZ0FrQlR4ejBGWlFjdjl6aEdTSndjTDZQeFhidUhPZWJIOUN2WGUyRm4yNlpQeXExZFAwNmY1TnNxWDljUFJqTnB2NllIQk9STjJ3c2dmVTRfZ01lYU1JeGM0MEZLOUpYRFFjc2pJNTJQOTc1SG1MNVhKMXlFOXoxVlZLOG1oOEZodEJLd1lhVW8tbkgyRy0xT2NsVGo4Z0pBYWhvNVg5alRnMHY3MzhPQTJnd3FSdllnWEpKSHBWRnNxVVp0azJnZm42VUNqRGZFVElYQWRzNld1Njc5R25RUHczMFZDSmoyUQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
73,87,Promising,in Ireland,storage-news-9ba024fd773f,Meath firm eyes up ‘long duration’ battery energy storage facility in Monaghan - Irish Independent,Watch item,Battery energy storage,,,,,Co. Meath,,,Meath firm eyes up ‘long duration’ battery energy storage facility in Monaghan Irish Independent,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Irish Independent,https://news.google.com/rss/articles/CBMizgFBVV95cUxOWUs1TmZqM2lra2ptcC0ydzdhb2dDV25LbTZyT25RRVZHX2pmRGtWWnp0ZzVCWWhYNmNyR3ZOVDVDSEFPbXd4Vk03SFVtRl8wMkdub1d3U055REdxblQyX3lUeFQ4QzdBdllVSEl4VllaeTluZVRSZVNTRXZrMnpSUFJiYkxVdHF2Wko3bTluemt5VFNwcmpBMDRDT3lqS1VqNGc0bUpZQ3UtZWZGMHdrV0NoOERKUjVUQnZ5MlFVWThaU0ppX3Vab256SzNkdw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
74,87,Promising,in Ireland,storage-news-fcad77c86069,Ireland launches LDES procurement scheme - Solar Power Portal,Watch item,Storage / grid flexibility,,,,,Ireland,,,Ireland launches LDES procurement scheme Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPZ1BNdmd0dnhYN3J5T1NSTkd1NmVWSm9zNlhLQ0c4YndjUTdCclNSeDdCSXRPb3FfYkU1UTBFR3JYVHZHbW9FTHo0THhwQkR2VzZtLVBpeTNvSTlPVW0wS1dVWW5qeXN4UHR1dUNGcXA0OE8zUzFIY0N0QXpDYnY3ZU1WNk9jUnlldFR5YThDT1cwX2lfSWVSMFRwbXdIV0pFTDdXb2xSSWdFeHZHTEtQMW9jN0NiYlQ3N1lV?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
75,87,Promising,in Ireland,storage-news-350310c4675f,Ireland ‘enters new era’ with battery storage units participating in wholesale market for first time - Energy-Storage.News,Watch item,Battery energy storage,,,,,Ireland,,,Ireland ‘enters new era’ with battery storage units participating in wholesale market for first time Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMiywFBVV95cUxQNlBNcnphblByZ3g1Ukc1ZDhCNlpqR0pYemdYN1FZZlBwQzUxUFRvRi1LYUljTl9FTU5zMi1QNkd3TEFLOVFzVHZ0MWRnWW55WjRjRk8yS3lvR0FoLXFkbFlrbkpvLVFEV0s3QjdRNnBGam9qRkRVZ0FnT2Vub00xaHd3NHlWN3FTTVhkWmM1MjQwa3BROFFDaGo0YXc0T3lBSFluWkQwZEwyODdSVzB0elFQWXVCV3JJN08wNG9tbDNhLXBuSDRUVXBzbw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
76,87,Promising,in Ireland,storage-news-99e2836d7ee0,Grid update to provide major boost to battery storage in Ireland - Energy Storage - ESS News,Watch item,Battery energy storage,,,,,Ireland,,,Grid update to provide major boost to battery storage in Ireland - Energy Storage ESS News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMivAFBVV95cUxPbS1tMVRWQ3d0MVpaRlJ5YkI4dmEzQlQ4c3dJcGNEcm5waXZrd3V0R0N5TTRBbU9kUXRtODlKcnlWT3o3dUU0cDNQb3p4Ul8tOVJCb2pzQzJOVXZyNzdnSlVfRG05X3BCeE1IVW0xYWlia21oTFFoZk1TVGtnakxwWEdhQl9KUDQ1OXF4SzdfYi01QzNzNW4tVmhUSkkzdTI5YzRyb1V4R3VqQTJjbEdzbnJIWDJuOGZpWm5CeQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
77,87,Promising,in Ireland,storage-news-01d8833a3e2a,Policy vacuum on long duration storage threatens Ireland’s renewables growth - Cornwall Insight,Watch item,Storage / grid flexibility,,,,,Ireland,,,Policy vacuum on long duration storage threatens Ireland’s renewables growth Cornwall Insight,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Cornwall Insight,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPZGlaQ0p6X0VSUy1VN3VuTXIyS3FESGtHTERGQTkxa1FPNEZxOW9mVzBSemVpbEpGWUkwVk8xRmhxTnoyeUIyT09qeEM1SGIwcHNTUHMzNjNJV1M4aEdmdkxtZnQtZm1KTzgwTDFTRDQ2VGlsYmt4T2x2UTN3dHBxM01VZ0lOWUtxblVvQXg1TXJlb0UyUFpoMjMzeVRqaGpvWWtCQ2xUbVJSdkpBRnBnMDlZZWdjbkkxRkJFaDBLdGZSUQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
78,87,Promising,in Ireland,storage-news-45e55aa7df21,Ireland’s 2030 renewables target under threat due to lack of policy for long-duration energy storage - Solar Power Portal,Watch item,Storage / grid flexibility,,,,,Ireland,,,Ireland’s 2030 renewables target under threat due to lack of policy for long-duration energy storage Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMi5AFBVV95cUxQUXBDdGFEcmxWSHpBRXA3Qjg3cllfcXNRbjRXOEVXOFdvQ1FZX054WjZKM2Q1bV9jQzRLbVdzTzM2ZlQtcEpiWGZLRGNyMnIwbHlMZ1g3UFFFWTJBRXUta1VEbHlTSnFuMXNiWXNfU1VBOFVvd0dfTGJtUWVIRzBDanFld194bjd3amxmeWVQRmZfQ2U5eWpWMDl2NDNwRDhEejh4c2xRdzFxWldQT2oyYm9nLWFOMTNxRHRKNENPWTdzZTNyXzMyLWxhUlNGMzdINS1Bb05sN2x1alZoVmlDekFYTDY?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
79,87,Promising,in Ireland,storage-news-22ab68675126,‘Policy vacuum’ for long-duration energy storage threatens Ireland’s 2030 renewables target - Solar Power Portal,Watch item,Storage / grid flexibility,,,,,Ireland,,,‘Policy vacuum’ for long-duration energy storage threatens Ireland’s 2030 renewables target Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNWG9OY2hVNDNub0prcDBjVVozUkRkSmpqRjNvMi1hVW1XbmNwZ3RzNnBIc2I3d3B6NC1tWDFTZEp6MTRqb2g2b0RpQU1kREwxdWxFVGdqVjUwWW5qUFEzOWFyM3ltVkhHejE0YjZtR1h3dlAxOVNucXBGeXFkNlkzalBOWjJYMEdVYnZKN2p0Zmthc1RxWnhYeTdlUHZaOEhnX3piUjJnazNXYmpkYTVSWTVtR0x4cDZQajJGNFF3cWYyczJockZuZTRPcVZTWE1FMUlVa093?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
80,87,Promising,in Ireland,storage-news-d65f7274c651,Massive new “reversible rusting” batteries could help Ireland’s electricity grid shift away from fossil fuels - Dublin InQuirer,Watch item,Storage / grid flexibility,,,,,Co. Dublin,,,Massive new “reversible rusting” batteries could help Ireland’s electricity grid shift away from fossil fuels Dublin InQuirer,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Dublin InQuirer,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPS29icFJscjBjRktBVVQ2bTdsb1BLVUNHUURDYld2LUJrUzJuTFV0THRNNExhc2RGR2lPOTJneDJmQWI0MkpFSllRWkZwWW0xeVBGOWFTTkhQdlJCcER1T3BnMEh5SnY0SVRidWlDZmZrejdVYlBkbWUta1B0Yy1STWJCVXp5YmdQM3F6X0VhLVZjcWdBaWtxRGdBVEY0RElPSkwxWmh2X3JydDNRUk5sSF9sZjBvWjBRRWxtbzh1RXllNGFCaVZPYzNNM0FMZWhUemhOaA?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
81,87,Promising,in Ireland,storage-news-66f83e85893b,The benefits of longer-duration storage and energy project co-location: Ireland's first 4-hour grid-scale BESS - Energy-Storage.News,Watch item,Battery energy storage,,,,,Ireland,,,The benefits of longer-duration storage and energy project co-location: Ireland's first 4-hour grid-scale BESS Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMi2AFBVV95cUxORVZBNkozWXRjSHlSUGJUM0ktRHY1WnVaS3JMNThmcVhKbkVhNUJpdURrSXpkT0pBOGYxbjJuNEl3ZWtZUFhjUll2bmp5STNMUjQ0a2NKMjVjcHB4dE05S3cyQ3RkSmMwZTNYSFh6QVR0dVFQLVFmWS1xOUwzdGlOSDc5UklIRlhfY3dSVFRDSHVFRHBsMDlOTlVZNnpiT24tWk1fTm9teDhPVlNUOUk3UXVPVUx2c2MxUUxucXBSaWQybjJSN0hURGdHNGY1TDBDdHVZbGFWSFI?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
82,87,Promising,in Ireland,storage-news-bca883ef5cd1,"LDES deployments in Ireland held back by lack of incentives and market design, report says - Energy-Storage.News",Watch item,Storage / grid flexibility,,,,,Ireland,,,"LDES deployments in Ireland held back by lack of incentives and market design, report says Energy-Storage.News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMivwFBVV95cUxPZF9va19yaXJrNm5BNHhjYVJBUEdTZVdsdGFjZG5ydG1ZNC1tSmRYRTd0QU5RTWtSUDNYeUhqd2NqdkoxTFU3REF1ZFRxWEY4WHlYZ3VKbW1rNXJXWGwwaGdpa1Zqd2VHUmlsOTU1NHlFSTFKRDNEQ204bExmcDNielF3UldBbmF1T2owcjE0Y1lYYmVqN1psS0xqUEVNSWNWdktPdllvRVlLYVRscXpJcGVpRkJtV3R2bXpNTE5FTQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
83,87,Promising,in Ireland,storage-news-3e4524f91946,Ireland to see major battery storage boom to 2030 - Enlit World,Watch item,Battery energy storage,,,,,Ireland,,,Ireland to see major battery storage boom to 2030 Enlit World,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Enlit World,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQMmxSNzVYQmFSNGY4S3k3V2NxR3FmWDVuR0dpcXJZQy03OUxNbmRSLWlJQWZncHhqaGM0b09pNHBsMkYzQXlrbXJiMXZ6Sm1QSS15V2RvSkNFOVdmZVNZQktQRTlycWZUZWVvZlBESENQU0lnZW1abG5VNHlaV0xzZ2Yyd1lOU2xR?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
